Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,Padding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,pkts_sent,pkts_received,session_end_reason,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,Virtual System Name,Device Name,action_source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,parent_start_time,tunnel
1,2017/04/04 20:32:52,001606050200,TRAFFIC,end,1,2017/04/04 20:32:52,192.168.4.220,192.168.4.1,,,rule1,,,insufficient-data,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:52,40118,1,60180,80,0,0,0x8000401c,tcp,allow,1160,360,800,10,2017/04/04 20:32:37,0,any,0,15031521,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,5,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:52,001606050200,TRAFFIC,end,1,2017/04/04 20:32:52,192.168.4.220,192.168.4.1,,,rule1,,,ssl,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:52,40117,1,44258,443,0,0,0x401a,tcp,allow,1753,855,898,8,2017/04/04 20:32:37,0,unknown,0,15031520,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,3,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:52,001606050200,TRAFFIC,end,1,2017/04/04 20:32:52,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:52,40116,1,60150,80,0,0,0x401c,tcp,allow,1160,360,800,10,2017/04/04 20:32:37,0,private-ip-addresses,0,15031519,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,5,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:52,001606050200,TRAFFIC,end,1,2017/04/04 20:32:52,192.168.4.220,192.168.4.1,,,rule1,,,ssl,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:52,40114,1,44176,443,0,0,0x401c,tcp,allow,1456,492,964,10,2017/04/04 20:32:31,6,unknown,0,15031518,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,6,4,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:52,001606050200,TRAFFIC,end,1,2017/04/04 20:32:52,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:52,40115,1,48288,49152,0,0,0x10401c,tcp,allow,984,457,527,11,2017/04/04 20:32:31,6,private-ip-addresses,0,15031517,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,6,5,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:52,001606050200,TRAFFIC,end,1,2017/04/04 20:32:52,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:52,40113,1,60072,80,0,0,0x401c,tcp,allow,562,290,272,8,2017/04/04 20:32:31,6,private-ip-addresses,0,15031516,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,4,4,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:37,001606050200,TRAFFIC,end,1,2017/04/04 20:32:37,192.168.4.220,192.168.4.1,,,rule1,,,incomplete,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:37,39138,1,36957,49152,0,0,0x401a,tcp,allow,182,122,60,3,2017/04/04 20:32:27,0,any,0,15031510,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,2,1,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:37,001606050200,TRAFFIC,end,1,2017/04/04 20:32:37,192.168.4.220,192.168.4.1,,,rule1,,,incomplete,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:37,39120,1,36957,80,0,0,0x401a,tcp,allow,182,122,60,3,2017/04/04 20:32:27,0,any,0,15031509,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,2,1,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:37,001606050200,TRAFFIC,end,1,2017/04/04 20:32:37,192.168.4.220,192.168.4.1,,,rule1,,,incomplete,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:37,39119,1,36957,443,0,0,0x401a,tcp,allow,182,122,60,3,2017/04/04 20:32:27,0,any,0,15031508,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,2,1,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:34,001606050200,TRAFFIC,end,1,2017/04/04 20:32:34,192.168.4.220,192.168.4.1,,,rule1,,,incomplete,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:34,39845,1,36957,3,0,0,0x401b,tcp,allow,122,62,60,2,2017/04/04 20:32:29,0,any,0,15031505,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,1,1,tcp-rst-from-server,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
